Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Polycyclic Aromatic Hydrocarbons,D011084,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.58,2
Buthionine Sulfoximine,D019328,5072-26-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.57,1
Ethinyl Estradiol,D004997,57-63-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.57,2
N-nitrosomorpholine,C002741,59-89-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.57,1
Sulfasalazine,D012460,599-79-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.57,1
Dinoprostone,D015232,363-24-6,Homocystinuria,MESH:D006712,,CBS,4.56,1
"2,4,4'-trichlorobiphenyl",C081766,7012-37-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.56,1
pentanal,C046012,110-62-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.56,1
Dactinomycin,D003609,50-76-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.56,1
Sunitinib,D000077210,,Homocystinuria,MESH:D006712,,CBS|MTRR,4.55,3
Hydrogen Peroxide,D006861,7722-84-1,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.55,1
"2,4,5,2',5'-pentachlorobiphenyl",C009828,37680-73-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.55,1
"2,3,5-(triglutathion-S-yl)hydroquinone",C078765,119212-33-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.55,1
Hypochlorous Acid,D006997,7790-92-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.54,1
vinylidene chloride,C029297,75-35-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.54,2
"1,2-Dimethylhydrazine",D019813,540-73-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.53,2
NSC 689534,C558013,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.53,2
2-amino-2-methyl-1-propanol,C006551,124-68-5,Homocystinuria,MESH:D006712,,CBS,4.52,1
2-chloro-N-(4-chlorobiphenyl-2-yl)nicotinamide,C550088,,Homocystinuria,MESH:D006712,,CBS,4.52,1
Thiabendazole,D013827,148-79-8,Homocystinuria,MESH:D006712,,CBS,4.52,1
Nickel,D009532,7440-02-0,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.52,1
Oxygen,D010100,7782-44-7,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.52,1
Rotenone,D012402,83-79-4,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.52,1
benzo(b)fluoranthene,C006703,205-99-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.52,1
"dibenzo(a,l)pyrene",C041517,191-30-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.52,1
Maneb,D008344,12427-38-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.52,1
Menthol,D008610,1490-04-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.52,1
Thioacetamide,D013853,62-55-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.52,2
N-nitrosomorpholine,C002741,59-89-2,Homocystinuria,MESH:D006712,,CBS,4.51,1
diethyl maleate,C014476,141-05-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.51,1
Metribolone,D015741,965-93-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.51,1
arsenite,C015001,15502-74-6,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.50,1
Fluorouracil,D005472,51-21-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.50,1
Caffeine,D002110,58-08-2,Homocystinuria,MESH:D006712,,MTRR,4.49,2
Ivermectin,D007559,70288-86-7,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.49,1
Methamphetamine,D008694,537-46-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.49,1
Rosiglitazone,D000077154,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.49,1
fullerene C60,C069837,99685-96-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.49,2
kojic acid,C011890,501-30-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.48,1
"2,5,2',5'-tetrachlorobiphenyl",C009407,35693-99-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.47,1
decamethrin,C017180,52820-00-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.47,1
PCB 180,C410127,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.47,1
Indomethacin,D007213,53-86-1,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.46,1
Phenobarbital,D010634,50-06-6,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.46,1
tributyltin,C011559,688-73-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.46,1
Captan,D002215,133-06-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.46,1
SB 203580,C093642,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.46,1
Arsenic,D001151,7440-38-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.45,1
Glutathione,D005978,70-18-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.45,1
naphthalene,C031721,91-20-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.43,1
Reactive Oxygen Species,D017382,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.43,1
Gold,D006046,7440-57-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.42,1
"2,2',3',4,4',5-hexachlorobiphenyl",C029790,35065-28-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.41,1
bis(4-hydroxyphenyl)sulfone,C543008,80-09-1,Homocystinuria,MESH:D006712,,CBS|MTRR,4.39,3
Glutathione,D005978,70-18-8,Homocystinuria,MESH:D006712,,CBS,4.39,1
perfluoro-n-nonanoic acid,C101816,375-95-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.39,2
imidacloprid,C082359,105827-78-9,Homocystinuria,MESH:D006712,,CBS,4.38,1
vinclozolin,C025643,50471-44-8,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.38,1
Reactive Oxygen Species,D017382,,Homocystinuria,MESH:D006712,,CBS,4.37,1
muraglitazar,C500085,,Homocystinuria,MESH:D006712,,CBS,4.36,1
CGP 52608,C092451,87958-67-6,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.36,1
"2,4,5,2',4',5'-hexachlorobiphenyl",C014024,35065-27-1,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.36,1
GSK-J4,C000593030,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.36,1
cupric oxide,C030973,1317-38-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.36,1
dimethyl-4-toluidine,C015835,99-97-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.36,1
avobenzone,C049935,,Homocystinuria,MESH:D006712,,CBS,4.35,1
Methyl Methanesulfonate,D008741,66-27-3,Homocystinuria,MESH:D006712,,CBS|MTRR,4.35,3
Vanadates,D014638,,Homocystinuria,MESH:D006712,,MTRR,4.35,2
Sunitinib,D000077210,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.35,1
bis(tri-n-butyltin)oxide,C005961,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.35,1
folpet,C005020,133-07-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.35,1
Palmitic Acid,D019308,57-10-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.35,1
"2',3,3',4',5-pentachloro-4-hydroxybiphenyl",C111118,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.34,1
"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.34,1
Environmental Pollutants,D004785,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.34,1
Ethyl Methanesulfonate,D005020,62-50-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.34,2
nickel monoxide,C028007,1313-99-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.34,2
nitrosobenzylmethylamine,C014707,937-40-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.34,1
Permethrin,D026023,52645-53-1,Homocystinuria,MESH:D006712,,MTRR,4.33,2
Amphetamine,D000661,300-62-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.33,2
Methimazole,D008713,60-56-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.33,1
n-butoxyethanol,C017096,111-76-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.33,1
DEET,D003671,134-62-3,Homocystinuria,MESH:D006712,,MTRR,4.32,2
1-Methyl-4-phenylpyridinium,D015655,48134-75-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.32,1
Silver,D012834,7440-22-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.32,1
epigallocatechin gallate,C045651,989-51-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.32,2
tesaglitazar,C501413,,Homocystinuria,MESH:D006712,,CBS,4.31,1
Calcitriol,D002117,32222-06-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.31,1
Capsaicin,D002211,404-86-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.31,1
Gallic Acid,D005707,149-91-7,Homocystinuria,MESH:D006712,,CBS,4.30,1
nonylphenol,C025256,25154-52-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.30,1
Tobacco Smoke Pollution,D014028,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.30,2
bis(4-hydroxyphenyl)sulfone,C543008,80-09-1,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.29,1
Environmental Pollutants,D004785,,Homocystinuria,MESH:D006712,,CBS,4.28,1
nitrosobenzylmethylamine,C014707,937-40-6,Homocystinuria,MESH:D006712,,CBS,4.28,1
"2,6-dinitrotoluene",C023514,606-20-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.28,2
pentanal,C046012,110-62-3,Homocystinuria,MESH:D006712,,MTRR,4.27,2
Methyl Methanesulfonate,D008741,66-27-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.27,1
Troglitazone,D000077288,97322-87-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.27,1
2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide,C511621,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.27,1
benzyloxycarbonylleucyl-leucyl-leucine aldehyde,C072553,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.27,1
Dichlorodiphenyl Dichloroethylene,D003633,72-55-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.26,1
Aflatoxin B1,D016604,1162-65-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.25,2
Sulindac,D013467,38194-50-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.25,1
"2,2',4,4',5-brominated diphenyl ether",C477694,,Homocystinuria,MESH:D006712,,CBS,4.24,1
Gentamicins,D005839,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.24,1
dimethyl phthalate,C024629,131-11-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.24,1
picoxystrobin,C556557,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.24,1
sodium arsenite,C017947,13768-07-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.24,2
Carbon Tetrachloride,D002251,56-23-5,Homocystinuria,MESH:D006712,,CBS|MTRR,4.23,3
Carbon Tetrachloride,D002251,56-23-5,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.23,1
Methotrexate,D008727,59-05-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.23,1
potassium chromate(VI),C027373,7789-00-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.22,2
Triiodothyronine,D014284,6893-02-3,Homocystinuria,MESH:D006712,,CBS,4.21,1
"Asbestos, Crocidolite",D017638,12001-28-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.21,1
azoxystrobin,C087670,131860-33-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.21,1
Dichlorodiphenyl Dichloroethylene,D003633,72-55-9,Homocystinuria,MESH:D006712,,CBS,4.20,1
Doxorubicin,D004317,23214-92-8,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.20,1
Dinitrochlorobenzene,D004137,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.20,1
1-Butanol,D020001,71-36-3,Homocystinuria,MESH:D006712,,CBS,4.19,1
Tamoxifen,D013629,10540-29-1,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.19,1
hydroquinone,C031927,123-31-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.19,1
methylmercuric chloride,C004925,115-09-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.17,1
Silicon Dioxide,D012822,7631-86-9,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.17,1
Etoposide,D005047,33419-42-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.17,1
Simvastatin,D019821,79902-63-9,Homocystinuria,MESH:D006712,,CBS,4.16,1
"4,4'-diaminodiphenylmethane",C009505,101-77-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.16,2
4-hydroxy-2-nonenal,C027576,29343-52-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.16,1
azoxystrobin,C087670,131860-33-8,Homocystinuria,MESH:D006712,,CBS,4.15,1
Clofibric Acid,D002995,882-09-7,Homocystinuria,MESH:D006712,,CBS,4.15,1
Ethanol,D000431,64-17-5,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.15,1
Vehicle Emissions,D001335,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.15,1
Diethylnitrosamine,D004052,55-18-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.15,1
"1,2-dithiol-3-thione",C049325,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.15,1
cupric chloride,C029892,7447-39-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.15,1
dicyclohexyl phthalate,C036042,84-61-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.15,1
Grape Seed Proanthocyanidins,C511402,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.15,1
Cyclosporine,D016572,59865-13-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.14,1
Methionine,D008715,63-68-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.14,1
hydroquinone,C031927,123-31-9,Homocystinuria,MESH:D006712,,CBS,4.13,1
Choline,D002794,62-49-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.13,1
p-Chloromercuribenzoic Acid,D020245,59-85-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.13,1
Warfarin,D014859,81-81-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.13,1
butyraldehyde,C018475,123-72-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.12,1
sodium arsenate,C009277,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.12,1
Ascorbic Acid,D001205,50-81-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.12,1
Clozapine,D003024,5786-21-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.12,1
deoxynivalenol,C007262,51481-10-8,Homocystinuria,MESH:D006712,,CBS,4.11,1
Clobetasol,D002990,25122-41-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.11,1
Blood Glucose,D001786,,Homocystinuria,MESH:D006712,,CBS,4.10,1
Folic Acid,D005492,59-30-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.10,1
Catechin,D002392,154-23-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.10,1
Methapyrilene,D008701,91-80-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.10,2
monomethyl phthalate,C517284,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.10,1
"Water Pollutants, Chemical",D014874,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.10,1
Estradiol,D004958,50-28-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.09,1
ethylene dichloride,C024565,107-06-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.09,1
Tetrachloroethylene,D013750,127-18-4,Homocystinuria,MESH:D006712,,CBS,4.08,1
"1,2-Dimethylhydrazine",D019813,540-73-8,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.08,1
Thioacetamide,D013853,62-55-5,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.08,1
Chlorpromazine,D002746,50-53-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.08,1
methylmercuric chloride,C004925,115-09-3,Homocystinuria,MESH:D006712,,CBS|MTRR,4.07,3
Silicon Dioxide,D012822,7631-86-9,Homocystinuria,MESH:D006712,,CBS|MTRR,4.07,3
Antirheumatic Agents,D018501,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.07,1
Ascorbic Acid,D001205,50-81-7,Homocystinuria,MESH:D006712,,CBS,4.06,1
(+)-JQ1 compound,C561695,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.06,1
Paraquat,D010269,4685-14-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.06,1
"Air Pollutants, Occupational",D000395,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.06,1
Finasteride,D018120,98319-26-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.06,1
(+)-JQ1 compound,C561695,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.06,2
Tetracycline,D013752,60-54-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.06,1
Acetaminophen,D000082,103-90-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.05,2
mercuric bromide,C042720,7789-47-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.05,1
"2,6-dinitrotoluene",C023514,606-20-2,Homocystinuria,MESH:D006712,,MTRR,4.04,2
"2,2',4,4'-tetrabromodiphenyl ether",C511295,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.04,1
Nickel,D009532,7440-02-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.04,1
alpha-Chlorohydrin,D000517,96-24-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.04,1
Ionomycin,D015759,56092-81-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.04,2
Ethanol,D000431,64-17-5,Homocystinuria,MESH:D006712,,CBS|MTRR,4.03,3
Ionomycin,D015759,56092-81-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.03,1
Urethane,D014520,51-79-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.03,2
Acetylcysteine,D000111,616-91-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.02,1
Tetracycline,D013752,60-54-8,Homocystinuria,MESH:D006712,,CBS,4.01,1
"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.01,1
fipronil,C082360,120068-37-3,Homocystinuria,MESH:D006712,,MTRR,4.00,2
Flavonoids,D005419,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.00,1
Aflatoxin B1,D016604,1162-65-8,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,3.99,1
Testosterone,D013739,58-22-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.99,1
Dibutyl Phthalate,D003993,84-74-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,3.99,2
Tetradecanoylphorbol Acetate,D013755,16561-29-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,3.99,2
Cyclosporine,D016572,59865-13-3,Homocystinuria,MESH:D006712,,CBS|MTRR,3.98,3
Methotrexate,D008727,59-05-2,Homocystinuria,MESH:D006712,,MTRR,3.98,2
potassium chromate(VI),C027373,7789-00-6,Homocystinuria,MESH:D006712,,MTRR,3.98,2
Arsenic,D001151,7440-38-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.98,1
Tetradecanoylphorbol Acetate,D013755,16561-29-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.98,1
Acetylcysteine,D000111,616-91-1,Homocystinuria,MESH:D006712,,CBS,3.97,1
Ammonium Chloride,D000643,12125-02-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.97,1
chloropicrin,C100187,76-06-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.97,1
beta-Naphthoflavone,D019324,6051-87-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.96,1
Methylcholanthrene,D008748,56-49-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.96,1
Vancomycin,D014640,1404-90-6,Homocystinuria,MESH:D006712,,CBS,3.95,1
Air Pollutants,D000393,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.95,1
Methylmercury Compounds,D008767,,Homocystinuria,MESH:D006712,,CBS,3.94,1
nickel chloride,C022838,7718-54-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.94,1
nimesulide,C012655,51803-78-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.94,1
"4,4'-diaminodiphenylmethane",C009505,101-77-9,Homocystinuria,MESH:D006712,,MTRR,3.93,2
Gasoline,D005742,,Homocystinuria,MESH:D006712,,CBS,3.93,1
Copper,D003300,7440-50-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.93,1
Permethrin,D026023,52645-53-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.93,1
Streptozocin,D013311,18883-66-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.93,1
Diclofenac,D004008,15307-86-5,Homocystinuria,MESH:D006712,,CBS,3.92,1
Dioxins,D004147,,Homocystinuria,MESH:D006712,,CBS,3.92,1
Acetaminophen,D000082,103-90-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,3.92,1
DEET,D003671,134-62-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.92,1
benz(a)anthracene,C030935,56-55-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.91,1
CGP 52608,C092451,87958-67-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,3.91,2
indole-3-carbinol,C016517,700-06-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.91,1
Methylcholanthrene,D008748,56-49-5,Homocystinuria,MESH:D006712,,CBS,3.90,1
Sunitinib,D000077210,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,3.90,2
butyraldehyde,C018475,123-72-8,Homocystinuria,MESH:D006712,,MTRR,3.89,2
Folic Acid,D005492,59-30-3,Homocystinuria,MESH:D006712,,CBS|MTRR,3.89,3
Mustard Gas,D009151,505-60-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.89,1
ochratoxin A,C025589,303-47-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.89,1
Vitamin K 3,D024483,58-27-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,3.89,1
nickel chloride,C022838,7718-54-9,Homocystinuria,MESH:D006712,,CBS,3.88,1
Dietary Fats,D004041,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.88,1
Polycyclic Aromatic Hydrocarbons,D011084,,Homocystinuria,MESH:D006712,,CBS,3.87,1
Streptozocin,D013311,18883-66-4,Homocystinuria,MESH:D006712,,CBS,3.87,1
Sunitinib,D000077210,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,3.87,1
Dihydrotestosterone,D013196,521-18-6,Homocystinuria,MESH:D006712,,CBS,3.86,1
